candidate_id,rank,score,reasoning
CAND_0077285,34,0.585,"5.5 years exp as Recommendation Systems Engineer at Nykaa; has good foundational experience in dense embeddings, vector databases, RAG & LLM fine-tuning. Notice period is 60 days and candidate is located in Ahmedabad, Gujarat."
CAND_0017960,35,0.58,"7.7 years exp as Recommendation Systems Engineer at Nykaa; has good foundational experience in vector databases, RAG & LLM fine-tuning, strong Python development. Notice period is 60 days and candidate is based in Bangalore, Karnataka (willing to relocate)."
CAND_0075574,36,0.58,"Applied ML professional from Haptik with 5.7 years of experience. Strong in vector databases, hybrid retrieval systems, notice period is 60 days, currently based in Bangalore, Karnataka (willing to relocate)."
CAND_0078492,37,0.578,"5.1 years exp as Recommendation Systems Engineer at Verloop.io; has good foundational experience in vector databases, RAG & LLM fine-tuning, hybrid retrieval systems. Notice period is 30 days and candidate is based in Kochi, Kerala (willing to relocate)."
CAND_0011162,38,0.574,"Applied ML professional from upGrad with 5.8 years of experience. Strong in dense embeddings, vector databases, RAG & LLM fine-tuning, notice period is 90 days, currently based in Coimbatore, Tamil Nadu (willing to relocate)."
CAND_0046525,39,0.57,"Decent profile with 6.1 years exp at Genpact AI. Experience covers vector databases, RAG & LLM fine-tuning. Notice is 60 days, located in Pune, Maharashtra."
CAND_0018549,40,0.555,"6.8 years exp as Recommendation Systems Engineer at Uber; has good foundational experience in vector databases. Notice period is 60 days and candidate is based in Coimbatore, Tamil Nadu (willing to relocate)."
CAND_0015578,41,0.548,"Decent profile with 5.4 years exp at Zoho. Experience covers dense embeddings, vector databases, RAG & LLM fine-tuning. Notice is 90 days, located in Delhi, Delhi."
CAND_0074735,42,0.542,"5.5 years exp as Applied ML Engineer at Rephrase.ai; has good foundational experience in vector databases, RAG & LLM fine-tuning. Notice period is 90 days and candidate is located in Chandigarh, Chandigarh."
CAND_0009837,43,0.539,"Applied ML professional from Rephrase.ai with 4.3 years of experience. Strong in vector databases, RAG & LLM fine-tuning, strong Python development, notice period is 60 days, currently based locally in Noida, Uttar Pradesh (ideal for hybrid setup)."
CAND_0036863,44,0.535,"Decent profile with 4.3 years exp at upGrad. Experience covers vector databases, RAG & LLM fine-tuning, hybrid retrieval systems. Notice is 60 days, located in Chennai, Tamil Nadu."
CAND_0096172,45,0.533,"Applied ML professional from Krutrim with 5.2 years of experience. Strong in vector databases, RAG & LLM fine-tuning, strong Python development, notice period is 45 days, currently located in Chennai, Tamil Nadu."
CAND_0079284,46,0.529,"4.9 years exp as Machine Learning Engineer at Google; has good foundational experience in vector databases, RAG & LLM fine-tuning. Notice period is 30 days and candidate is located in Hyderabad, Telangana."
CAND_0098846,47,0.528,"Applied ML professional from upGrad with 7.6 years of experience. Strong in vector databases, RAG & LLM fine-tuning, notice period is 45 days, currently based in Indore, Madhya Pradesh (willing to relocate)."
CAND_0009024,48,0.526,"5.2 years exp as Search Engineer at Google; has good foundational experience in vector databases, RAG & LLM fine-tuning. Notice period is 30 days and candidate is located in Chennai, Tamil Nadu."
CAND_0081053,49,0.526,"Decent profile with 5.4 years exp at Glance. Experience covers vector databases, RAG & LLM fine-tuning. Notice is 90 days, located in Chandigarh, Chandigarh."
CAND_0087364,50,0.523,"4.9 years exp as Recommendation Systems Engineer at Glance; has good foundational experience in vector databases, RAG & LLM fine-tuning. Notice period is 30 days and candidate is located in Gurgaon, Haryana."
CAND_0026532,51,0.515,"Applied ML professional from Zomato with 4.8 years of experience. Strong in dense embeddings, vector databases, RAG & LLM fine-tuning, notice period is 90 days, currently based in Chennai, Tamil Nadu (willing to relocate)."
CAND_0040117,52,0.515,"Applied ML professional from PhonePe with 6.5 years of experience. Strong in dense embeddings, vector databases, RAG & LLM fine-tuning, notice period is 15 days, currently located in Vizag, Andhra Pradesh."
CAND_0081852,53,0.513,"Decent profile with 5.9 years exp at Mad Street Den. Experience covers vector databases, RAG & LLM fine-tuning. Notice is 45 days, located in Delhi, Delhi."
CAND_0044855,54,0.512,"6.6 years exp as Senior Data Scientist at Flipkart; has good foundational experience in dense embeddings, vector databases, RAG & LLM fine-tuning. Notice period is 60 days and candidate is based in Coimbatore, Tamil Nadu (willing to relocate)."
CAND_0079387,55,0.508,"Decent profile with 6.9 years exp at Microsoft. Experience covers RAG & LLM fine-tuning, hybrid retrieval systems, strong Python development. Notice is 30 days, located in Trivandrum, Kerala."
CAND_0008239,56,0.506,"Decent profile with 4.0 years exp at Apple. Experience covers vector databases, strong Python development. Notice is 15 days, located in Jaipur, Rajasthan."
CAND_0049538,57,0.504,"Decent profile with 5.8 years exp at Saarthi.ai. Experience covers dense embeddings, vector databases, RAG & LLM fine-tuning. Notice is 30 days, located in Jaipur, Rajasthan."
CAND_0020708,58,0.499,"Applied ML professional from PolicyBazaar with 4.2 years of experience. Strong in vector databases, RAG & LLM fine-tuning, strong Python development, notice period is 30 days, currently located in Indore, Madhya Pradesh."
CAND_0051292,59,0.496,"5.2 years exp as Applied ML Engineer at Freshworks; has good foundational experience in vector databases, RAG & LLM fine-tuning. Notice period is 30 days and candidate is located in Trivandrum, Kerala."
CAND_0019480,60,0.492,"Decent profile with 2.8 years exp at Meesho. Experience covers vector databases, RAG & LLM fine-tuning, hybrid retrieval systems. Notice is 90 days, located in Chennai, Tamil Nadu."
CAND_0065195,61,0.491,"Decent profile with 5.1 years exp at CRED. Experience covers vector databases, RAG & LLM fine-tuning. Notice is 45 days, located in Kolkata, West Bengal."
CAND_0030953,62,0.486,"Decent profile with 7.8 years exp at Nykaa. Experience covers vector databases, RAG & LLM fine-tuning, strong Python development. Notice is 45 days, located in Chennai, Tamil Nadu."
CAND_0014440,63,0.484,"Decent profile with 6.4 years exp at CRED. Experience covers vector databases. Notice is 60 days, located in Chennai, Tamil Nadu."
CAND_0037944,64,0.483,"Decent profile with 4.9 years exp at Vedantu. Experience covers dense embeddings, RAG & LLM fine-tuning, hybrid retrieval systems. Notice is 30 days, located in Jaipur, Rajasthan."
CAND_0080766,65,0.481,"Applied ML professional from Salesforce with 8.8 years of experience. Strong in vector databases, RAG & LLM fine-tuning, strong Python development, notice period is 0 days, currently based in Coimbatore, Tamil Nadu (willing to relocate)."
CAND_0044222,66,0.479,"Decent profile with 7.7 years exp at PolicyBazaar. Experience covers vector databases, RAG & LLM fine-tuning, hybrid retrieval systems. Notice is 60 days, located in Vizag, Andhra Pradesh."
CAND_0061655,67,0.478,"4.6 years exp as Machine Learning Engineer at Krutrim; has good foundational experience in vector databases, hybrid retrieval systems. Notice period is 15 days and candidate is located in Jaipur, Rajasthan."
CAND_0022812,68,0.477,"Applied ML professional from Dream11 with 4.5 years of experience. Strong in vector databases, RAG & LLM fine-tuning, notice period is 60 days, currently based in Coimbatore, Tamil Nadu (willing to relocate)."
CAND_0036184,69,0.477,"6.0 years exp as Recommendation Systems Engineer at CRED; has good foundational experience in dense embeddings, vector databases, RAG & LLM fine-tuning. Notice period is 30 days and candidate is located in Trivandrum, Kerala."
CAND_0039383,70,0.475,"Decent profile with 7.1 years exp at Meesho. Experience covers vector databases, RAG & LLM fine-tuning. Notice is 90 days, located in Gurgaon, Haryana."
CAND_0091909,71,0.469,"Adjacent fit: 6.9 years exp as Machine Learning Engineer at Rephrase.ai. Covers vector databases, RAG & LLM fine-tuning but notice period is 45 days; candidate is based in Bangalore, Karnataka (willing to relocate)."
CAND_0076163,72,0.467,"Adjacent fit: 6.9 years exp as NLP Engineer at Ola. Covers vector databases, hybrid retrieval systems, strong Python development but notice period is 60 days; candidate is located in Chandigarh, Chandigarh."
CAND_0008295,73,0.464,"Adjacent fit: 6.5 years exp as AI Research Engineer at Razorpay. Covers vector databases, RAG & LLM fine-tuning, hybrid retrieval systems but notice period is 45 days; candidate is based locally in Pune, Maharashtra (ideal for hybrid setup)."
CAND_0010685,74,0.464,"Candidate with adjacent skills in RAG & LLM fine-tuning and 6.7 years experience. Notice period is 30 days, currently located in Kolkata, West Bengal."
CAND_0037160,75,0.462,"Adjacent fit: 6.0 years exp as Data Scientist at Haptik. Covers dense embeddings, vector databases, RAG & LLM fine-tuning but notice period is 30 days; candidate is located in Mumbai, Maharashtra."
CAND_0083879,76,0.462,"Adjacent fit: 7.1 years exp as Machine Learning Engineer at Ola. Covers vector databases but notice period is 30 days; candidate is based locally in Noida, Uttar Pradesh (ideal for hybrid setup)."
CAND_0000031,77,0.456,"Candidate with adjacent skills in dense embeddings, vector databases and 6.0 years experience. Notice period is 60 days, currently based in Hyderabad, Telangana (willing to relocate)."
CAND_0069905,78,0.453,"Candidate with adjacent skills in vector databases, RAG & LLM fine-tuning, strong Python development and 6.6 years experience. Notice period is 90 days, currently based in Bhubaneswar, Odisha (willing to relocate)."
CAND_0076831,79,0.451,"Final shortlist candidate: Search Engineer with 4.0 years experience at Krutrim. Experience includes vector databases, RAG & LLM fine-tuning, hybrid retrieval systems. Notice is 90 days."
CAND_0037980,80,0.45,"Adjacent fit: 9.0 years exp as Senior Applied Scientist at Niramai. Covers RAG & LLM fine-tuning, hybrid retrieval systems but notice period is 0 days; candidate is based in Kolkata, West Bengal (willing to relocate)."
CAND_0006567,81,0.446,"Adjacent fit: 7.9 years exp as Senior AI Engineer at Meta. Covers hybrid retrieval systems, strong Python development but notice period is 60 days; candidate is based locally in Noida, Uttar Pradesh (ideal for hybrid setup)."
CAND_0069638,82,0.436,"Adjacent fit: 6.2 years exp as Computer Vision Engineer at Swiggy. Covers vector databases but notice period is 30 days; candidate is based in Chennai, Tamil Nadu (willing to relocate)."
CAND_0057563,83,0.43,"Candidate with adjacent skills in RAG & LLM fine-tuning and 6.8 years experience. Notice period is 60 days, currently based in Indore, Madhya Pradesh (willing to relocate)."
CAND_0067866,84,0.43,"Adjacent fit: 6.4 years exp as Senior Software Engineer (ML) at Tech Mahindra. Covers dense embeddings, vector databases, RAG & LLM fine-tuning but notice period is 45 days; candidate is based locally in Noida, Uttar Pradesh (ideal for hybrid setup)."
CAND_0078002,85,0.428,"Final shortlist candidate: Machine Learning Engineer with 6.3 years experience at Meta. Experience includes vector databases, RAG & LLM fine-tuning. Notice is 60 days."
CAND_0036437,86,0.424,"Adjacent fit: 4.8 years exp as Search Engineer at Rephrase.ai. Covers vector databases but notice period is 30 days; candidate is based in Kolkata, West Bengal (willing to relocate). Note: experience (4.8 years) is slightly below our preferred 5-9 years band."
CAND_0033861,87,0.422,"Candidate with adjacent skills in vector databases, RAG & LLM fine-tuning and 8.0 years experience. Notice period is 30 days, currently located in Vizag, Andhra Pradesh."
CAND_0017178,88,0.421,"Candidate with adjacent skills in RAG & LLM fine-tuning, hybrid retrieval systems and 4.2 years experience. Notice period is 30 days, currently located in Hyderabad, Telangana."
CAND_0099401,89,0.42,"Final shortlist candidate: NLP Engineer with 7.7 years experience at Dream11. Experience includes dense embeddings, vector databases, hybrid retrieval systems. Notice is 90 days."
CAND_0008425,90,0.418,"Adjacent fit: 7.8 years exp as Senior NLP Engineer at Ola. Covers vector databases, RAG & LLM fine-tuning, strong Python development but notice period is 90 days; candidate is located in Kolkata, West Bengal."
CAND_0042029,91,0.417,"Candidate with adjacent skills in dense embeddings, vector databases, RAG & LLM fine-tuning and 6.5 years experience. Notice period is 45 days, currently based in Delhi, Delhi (willing to relocate)."
CAND_0051615,92,0.416,"Candidate with adjacent skills in vector databases, RAG & LLM fine-tuning and 4.6 years experience. Notice period is 60 days, currently located in Coimbatore, Tamil Nadu."
CAND_0097176,93,0.415,Final shortlist candidate: ML Engineer with 5.9 years experience at TCS. Experience includes vector databases. Notice is 30 days.
CAND_0045141,94,0.41,"Adjacent fit: 5.3 years exp as Data Scientist at HCL. Covers vector databases, RAG & LLM fine-tuning but notice period is 30 days; candidate is based in Kochi, Kerala (willing to relocate)."
CAND_0020350,95,0.408,"Final shortlist candidate: AI Engineer with 5.8 years experience at Zoho. Experience includes vector databases, RAG & LLM fine-tuning, hybrid retrieval systems. Notice is 30 days."
CAND_0092245,96,0.406,"Adjacent fit: 4.1 years exp as Senior Data Scientist at Ola. Covers dense embeddings, vector databases, RAG & LLM fine-tuning but notice period is 60 days; candidate is located in Coimbatore, Tamil Nadu. Note: experience (4.1 years) is slightly below our preferred 5-9 years band."
CAND_0047721,97,0.402,"Candidate with adjacent skills in vector databases, RAG & LLM fine-tuning, hybrid retrieval systems and 7.0 years experience. Notice period is 90 days, currently based in Coimbatore, Tamil Nadu (willing to relocate)."
CAND_0001610,98,0.401,"Candidate with adjacent skills in vector databases and 3.0 years experience. Notice period is 90 days, currently based in Trivandrum, Kerala (willing to relocate)."
CAND_0050876,99,0.401,"Final shortlist candidate: Applied ML Engineer with 6.0 years experience at Freshworks. Experience includes vector databases, RAG & LLM fine-tuning, strong Python development. Notice is 90 days."
CAND_0041610,100,0.4,"Adjacent fit: 6.7 years exp as Recommendation Systems Engineer at Zoho. Covers dense embeddings, RAG & LLM fine-tuning, hybrid retrieval systems but notice period is 30 days; candidate is based in Indore, Madhya Pradesh (willing to relocate)."
